joke_id,source_id,category,title,body,score,permalink
1,zh-cold_pun-0001,cold_pun,为什么熊猫不开会,"因为它对立场黑白分明，最怕的就是会议上""含糊其辞""。开会就像涂黑白颜料，熊猫无法妥协。",100,
2,zh-cold_pun-0002,cold_pun,我买了个坏钟,店员说可以退，我说不用。反正它一天总有两次是对的，比我这辈子的判断力都强。,100,
3,zh-cold_pun-0003,cold_pun,蛇为什么喜欢数学,"因为天生就会""盘""算。对蛇来说，数学不是科学，是生存本能。",100,
4,zh-cold_pun-0004,cold_pun,鸡蛋怕什么,"怕碰撞。一个鸡蛋对我说：""我的人生就是个壳，太脆弱了。""我说：""那就炒了吧，至少能变'坚强'。""",100,
5,zh-cold_pun-0005,cold_pun,孤独是个好友,因为它从不食言。你让它陪你，它说一定来，然后确实来了——永远不会放你鸽子。,100,
6,zh-cold_pun-0006,cold_pun,为什么裁缝的生意好,"因为我懂""拼接""。有人问我秘诀，我说就是把""破布""缝成""神话""。",100,
7,zh-cold_pun-0007,cold_pun,鱼为什么读书,"想进""水""准的大学。老师问鱼：""你毕业后想干什么？""鱼说：""不想干什么，就想'浮'躁一下。""",100,
8,zh-cold_pun-0008,cold_pun,医生的诊断,"患者说：""医生，我最近总觉得自己在说谎。""医生说：""这不太可能。""患者笑了：""骗你的，其实我说的都是真话。""",100,
9,zh-cold_pun-0009,cold_pun,灯泡的悲剧,"我问灯泡为什么会坏，它说：""因为活得太'亮'了。""我说：""还是休息一下吧。""它说：""我就是在休息——永久休息。""",100,
10,zh-cold_pun-0010,cold_pun,银行员工的秘密,"我在银行十年没""卡壳""。结果今天真卡了，才明白我这十年都在""自欺欺人""。",100,
11,zh-cold_pun-0011,cold_pun,厨师的自豪,"我做菜讲究""火候""。有人说我烧焦了，我说那叫""火候到极限""，高级烹饪术语。",100,
12,zh-cold_pun-0012,cold_pun,"为什么植物不会""野生""","因为他们都被""盆""困了。有根的东西总是被""土""绑定，无法""逃脱""。",100,
13,zh-cold_pun-0013,cold_pun,建筑工的笑话,"我每天垒砖，这是""硬工作""。别人问我累不累，我说：""看着这些砖，比人生还'坚硬'呢。""",100,
14,zh-cold_pun-0014,cold_pun,钱包的哭诉,"我从不""漏财""，是那些""孔洞""在背我。要不是口子这么大，我早就""饱满""了。",100,
